feature,nonnull,n
phys_qtaim_pair_C_N_laplacian_mean,4239,5649
phys_qtaim_pair_C_N_laplacian_min,4239,5649
phys_qtaim_pair_C_N_laplacian_p05,4239,5649
phys_qtaim_pair_C_N_laplacian_p50,4239,5649
phys_qtaim_pair_C_N_laplacian_p95,4239,5649
phys_qtaim_pair_C_N_laplacian_std,4239,5649
phys_qtaim_pair_C_N_rho_max,4239,5649
phys_qtaim_pair_C_N_rho_mean,4239,5649
phys_qtaim_pair_C_N_rho_min,4239,5649
phys_qtaim_pair_C_N_rho_p05,4239,5649
phys_qtaim_pair_C_N_rho_p50,4239,5649
phys_qtaim_pair_C_N_rho_p95,4239,5649
phys_qtaim_pair_C_N_rho_std,4239,5649
phys_qtaim_pair_C_O_count,4239,5649
phys_qtaim_pair_H_C_count,4239,5649
phys_qtaim_pair_H_N_count,4239,5649
phys_qtaim_pair_H_O_count,4239,5649
phys_qtaim_pair_N_N_count,4239,5649
phys_qtaim_pair_N_O_H_max,4239,5649
phys_qtaim_pair_N_O_H_mean,4239,5649
phys_qtaim_pair_N_O_H_min,4239,5649
phys_qtaim_pair_N_O_H_p05,4239,5649
phys_qtaim_pair_N_O_H_p50,4239,5649
phys_qtaim_pair_N_O_H_p95,4239,5649
phys_qtaim_pair_N_O_H_std,4239,5649
phys_qtaim_pair_N_O_count,4239,5649
phys_qtaim_pair_N_O_ellipticity_max,4239,5649
phys_qtaim_pair_N_O_ellipticity_mean,4239,5649
phys_qtaim_pair_N_O_ellipticity_min,4239,5649
phys_qtaim_pair_N_O_ellipticity_p05,4239,5649
phys_qtaim_pair_N_O_ellipticity_p50,4239,5649
phys_qtaim_pair_N_O_ellipticity_p95,4239,5649
phys_qtaim_pair_N_O_ellipticity_std,4239,5649
phys_qtaim_pair_N_O_laplacian_max,4239,5649
phys_qtaim_pair_N_O_laplacian_mean,4239,5649
phys_qtaim_pair_N_O_laplacian_min,4239,5649
phys_qtaim_pair_N_O_laplacian_p05,4239,5649
phys_qtaim_pair_N_O_laplacian_p50,4239,5649
phys_qtaim_pair_N_O_laplacian_p95,4239,5649
phys_qtaim_pair_N_O_laplacian_std,4239,5649
phys_qtaim_pair_N_O_rho_max,4239,5649
phys_qtaim_pair_N_O_rho_mean,4239,5649
